gvkey,fyear,tic,conm,oiadp,at,ind
3839,2015,DGTC,DGT HOLDINGS CORP,-0.731,55.105,40
3842,2015,DVLN,DVL INC,3.052,75.404,40
3851,2015,DAL,DELTA AIR LINES INC,7837,53134,20
3855,2015,DGAS,DELTA NATURAL GAS CO INC,12.964,187.795,55
3863,2015,DLX,DELUXE CORP,362.765,1844.402,20
3895,2015,DTRX,DETREX CORP,3.103,22.328,15
3897,2015,DTE,DTE ENERGY CO,1350,28737,55
3905,2015,ATGE,ADTALEM GLOBAL EDUCATION INC,201.603,2074.193,25
3937,2015,PYX,PYXUS INTERNATIONAL INC,110.827,1978.073,30
3946,2015,DBD,DIEBOLD NIXDORF INC,128.9,2249.3,45
3962,2015,NSYS,NORTECH SYSTEMS INC,-0.36,56.565,45
3964,2015,DDS,DILLARDS INC  -CL A,457.081,3865.625,25
3969,2015,DIOD,DIODES INC,48.483,1601.03,45
3980,2015,DIS,DISNEY (WALT) CO,13224,88182,50
4001,2015,DXYN,DIXIE GROUP INC,5.503,298.218,25
4016,2015,DG,DOLLAR GENERAL CORP,1946.394,11257.885,25
4029,2015,D,DOMINION ENERGY INC,3720,58797,55
4036,2015,DCI,DONALDSON CO INC,305.171,1809.534,20
4040,2015,RRD,DONNELLEY (R R) & SONS CO,748.7,7279.3,20
4045,2015,DMLP,DORCHESTER MINERALS  -LP,13.248,73.729,10
4058,2015,DOV,DOVER CORP,975.966,8619.763,20
4060,2015,DWDP,DOWDUPONT INC,6132,68026,15
4066,2015,OMC,OMNICOM GROUP,1920.1,22110.7,50
4072,2015,ASNA,ASCENA RETAIL GROUP INC,162.4,2915.7,25
4087,2015,DD,DU PONT (E I) DE NEMOURS,2905,41166,15
4091,2015,DCO,DUCOMMUN INC,16.996,561.42,20
4093,2015,DUK,DUKE ENERGY CORP,5746,121156,55
4094,2015,DNB,DUN & BRADSTREET CORP,397.3,2273.6,20
4108,2015,FLS,FLOWSERVE CORP,629.821,5103.85,20
4115,2015,DY,DYCOM INDUSTRIES INC,154.318,1358.864,20
4124,2015,DYNT,DYNATRONICS CORP,-0.831,19.152,35
4130,2015,DYSL,DYNASIL CORP OF AMERICA,0.311,24.516,45
4145,2015,PKI,PERKINELMER INC,307.831,4166.295,35
4156,2015,STS,SUPREME INDUSTRIES INC,18.915,121.73,20
4186,2015,EML,EASTERN CO,10.027,121.739,20
4193,2015,EGP,EASTGROUP PROPERTIES,80.039,1666.232,60
4194,2015,KODK,EASTMAN KODAK CO,85,2138,45
4199,2015,ETN,EATON CORP PLC,2347,31031,20
4201,2015,EV,EATON VANCE CORP,473.447,2116.471,40
4213,2015,ECL,ECOLAB INC,2056.7,18641.7,15
4225,2015,EDUC,EDUCATIONAL DEVELOPMENT CORP,3.313,49.695,25
4241,2015,EE,EL PASO ELECTRIC CO,146.191,3233.852,55
4273,2015,ELRC,ELECTRO RENT CORP,8.526,284.577,45
4274,2015,ESIO,ELECTRO SCIENTIFIC INDS INC,-9.015,220.1,45
4275,2015,ELSE,ELECTRO-SENSORS INC,0.273,13.421,45
4311,2015,ELRNF,ELRON ELECTRONIC INDS LTD,-22.071,214.869,40
4321,2015,EMR,EMERSON ELECTRIC CO,3660,22088,20
4322,2015,MSN,EMERSON RADIO CORP,-1.405,59.888,25
4331,2015,EDE,EMPIRE DISTRICT ELECTRIC CO,131.101,2455.303,55
4341,2015,SORL,SORL AUTO PARTS INC,15.271,320.554,25
4351,2015,EGN,ENERGEN CORP,-287.406,4613.693,10
4367,2015,WFT,WEATHERFORD INTL PLC,-402,14787,10
4383,2015,ATO,ATMOS ENERGY CORP,631.395,9092.945,55
4384,2015,MARA,MARATHON PATENT GROUP INC,-19.887,47.228,20
4390,2015,EBF,ENNIS INC,60.697,392.188,20
4409,2015,ENZN,ENZON PHARMACEUTICALS INC,15.306,22.89,35
4412,2015,VKSC,VISKASE COMPANIES INC,32.085,413.94,15
4415,2015,ETCC,ENVIRONMENTAL TECTONICS CORP,-1.96,44.292,20
4418,2015,ENZ,ENZO BIOCHEM INC,-12.447,68.394,35
4423,2015,EFX,EQUIFAX INC,718.3,4509,20
4430,2015,EQT,EQT CORP,563.139,13976.172,10
4439,2015,ERIC,TELEFONAKTIEBOLAGET LM ERICS,3166.125,33658.401,45
4448,2015,ESCA,ESCALADE INC,12.818,143.737,25
4450,2015,ESP,ESPEY MFG & ELECTRONICS CORP,4.43,34.344,20
4460,2015,ESL,ESTERLINE TECHNOLOGIES CORP,170.147,3007.03,20
4462,2015,NEU,NEWMARKET CORP,356.72,1289.915,15
4467,2015,ESCC,EVANS & SUTHERLAND CMP CORP,2.925,23.444,45
4476,2015,EXAR,EXAR CORP,-5.79,255.373,45
4485,2015,KINS,KINGSTONE COS INC,9.959,149.13,40
4494,2015,EXPD,EXPEDITORS INTL WASH INC,721.484,2582.438,20
4497,2015,BOOM,DMC GLOBAL INC,-1.328,182.866,20
4498,2015,IIIN,INSTEEL INDUSTRIES,32.196,260.239,20
4503,2015,XOM,EXXON MOBIL CORP,12883,336758,10
4510,2015,FMC,FMC CORP,312,6325.9,15
4517,2015,NEE,NEXTERA ENERGY INC,4658,82479,55
4579,2015,FARM,FARMER BROS CO,14.11,240.943,30
4598,2015,FDX,FEDEX CORP,3534,46064,20
